Name,price,link
"
                   Moto G (3rd Generation) (Black, 16 GB) 
               ","Rs. 10,999",/moto-g-3rd-generation/p/itme9ysjr7mfry3n?pid=MOBE6KK93JG5WKB2&al=oTeXb3%2BdcWfbd1gbhHo9CMldugMWZuE7Qdj0IGOOVqvLwwmsMU1bw2bzEsGCk7xLtamqGW4kpkw%3D&ref=L%3A-1702486835390100276&srno=b_1
"
                   Moto G Turbo Edition (Black, 16 GB) 
               ","Rs. 12,499",/moto-g-turbo/p/itmecc4uhbue7ve6?pid=MOBECC4UZTSGKWWZ&al=oTeXb3%2BdcWfbd1gbhHo9CMldugMWZuE7Qdj0IGOOVqvJj75%2FXJ058eAccvDWH4GCXVK%2Fbjori2g%3D&ref=L%3A-1702486835390100276&srno=b_2
"
                   Moto G (3rd Generation) (White, 16 GB) 
               ","Rs. 10,999",/moto-g-3rd-generation/p/itme9ysjr7mfry3n?pid=MOBE6KK9YZJBYGUC&al=oTeXb3%2BdcWfbd1gbhHo9CMldugMWZuE7Qdj0IGOOVqtjlSnRYtyTWAFLDCcHIpL%2B%2BPk%2F7%2FyJlg4%3D&ref=L%3A-1702486835390100276&srno=b_3
"
                   Moto X Play (Black, 32 GB) 
               ","Rs. 18,499",/moto-x-play/p/itmeajtqyhrnkwrz?pid=MOBEAJTQWXAQH9KQ&al=oTeXb3%2BdcWfbd1gbhHo9CMldugMWZuE7Qdj0IGOOVquAzKAOPiJdPsVdXVTEd3Kb%2BELcDe6zKHo%3D&ref=L%3A-1702486835390100276&srno=b_4
"
                   Moto X Play (Black, 16 GB) 
               ","Rs. 16,999",/moto-x-play/p/itmeajtqp9sfxgsk?pid=MOBEAJTQRH4CCRYM&al=oTeXb3%2BdcWfbd1gbhHo9CMldugMWZuE7Qdj0IGOOVqsvAPSreXd%2BV8f%2BpeJ0MZDz9LdhP2ey8pc%3D&ref=L%3A-1702486835390100276&srno=b_5
"
                   Moto G Turbo Edition (White, 16 GB) 
               ","Rs. 12,499",/moto-g-turbo/p/itmecc4uhbue7ve6?pid=MOBECC4UQTJ5QZFR&al=oTeXb3%2BdcWd%2FwLERx%2F5c8cldugMWZuE7Qdj0IGOOVquSZ7Us%2B%2BuzUc7F2oC4nD3vTMcVt2i5kLY%3D&ref=L%3A-1702486835390100276&srno=b_6
"
                   Moto X Play (White, 32 GB) 
               ","Rs. 18,499",/moto-x-play/p/itmeajtqyhrnkwrz?pid=MOBEAJTQGSBHEFHA&al=oTeXb3%2BdcWd%2FwLERx%2F5c8cldugMWZuE7Qdj0IGOOVqvmU2ZqdKxAnwpk%2BxH53aGM9Xb7x5fMYT4%3D&ref=L%3A-1702486835390100276&srno=b_7
"
                   Moto E (2nd Gen) 3G (White, 8 GB) 
               ","Rs. 5,999",/moto-e-2nd-gen-3g/p/itme85heggxfqjgs?pid=MOBE4G6GH9EPGHKG&al=oTeXb3%2BdcWd%2FwLERx%2F5c8cldugMWZuE7Qdj0IGOOVqsdVVRclMBIxjZ9LTThppMaT6HlN%2Fuo7v0%3D&ref=L%3A-1702486835390100276&srno=b_8
"
                   Moto E (2nd Gen) 4G (Black, 8 GB) 
               ","Rs. 6,999",/moto-e-2nd-gen-4g/p/itme85hfdv6zztcj?pid=MOBE4G6GTH2QDACF&al=oTeXb3%2BdcWd%2FwLERx%2F5c8cldugMWZuE7Qdj0IGOOVqspTHuRQZHLLOfUvLjNKr%2FKoGWC1a6qPdg%3D&ref=L%3A-1702486835390100276&srno=b_9
"
                   Moto X Play (White, 16 GB) 
               ","Rs. 16,999",/moto-x-play/p/itmeajtqp9sfxgsk?pid=MOBEAJTQ8XK783CX&al=oTeXb3%2BdcWd%2FwLERx%2F5c8cldugMWZuE7Qdj0IGOOVqto5fy%2FOrWPICC6SfEhBsaa3iqtDgaLH7s%3D&ref=L%3A-1702486835390100276&srno=b_10
"
                   Moto E (2nd Gen) 4G (White, 8 GB) 
               ","Rs. 6,999",/moto-e-2nd-gen-4g/p/itme85hfdv6zztcj?pid=MOBE4G6G2KHFYTND&al=oTeXb3%2BdcWd%2FwLERx%2F5c8cldugMWZuE7Qdj0IGOOVqt7WyUMA0neTIo55qL9tdrd1Wr1ynCz5fA%3D&ref=L%3A-1702486835390100276&srno=b_11
"
                   Moto X Style (Black, 32 GB) 
               ","Rs. 31,999",/moto-x-style/p/itmeajtqe4rnvzf8?pid=MOBEAJTQHXGXSKPP&al=oTeXb3%2BdcWddFy3u4VruBMldugMWZuE7Qdj0IGOOVqvZqRn6Zb5ArprKzvQ%2BnkIPj0aPle%2Bhnrk%3D&ref=L%3A-1702486835390100276&srno=b_12
"
                   Moto G (3rd Generation) (Black, 8 GB) 
               ","Rs. 9,999",/moto-g-3rd-generation/p/itme9ysjfazgqyqz?pid=MOBE6KK9K4HX5WTN&al=oTeXb3%2BdcWddFy3u4VruBMldugMWZuE7Qdj0IGOOVquwUy5KOINQeIcIhZfJSKdDHHjaNkwNArk%3D&ref=L%3A-1702486835390100276&srno=b_13
"
                   Moto X (2nd Generation) (Black, 16 GB) 
               ","Rs. 14,999",/moto-x-2nd-generation/p/itme7yb9cj9ghfvg?pid=MOBDZ3FVVZT38WQH&al=oTeXb3%2BdcWddFy3u4VruBMldugMWZuE7Qdj0IGOOVqvUc%2FTMXdsTKjP4W3CHh%2BLPKm1bDSFm3rE%3D&ref=L%3A-1702486835390100276&srno=b_14
"
                   Moto X Style (White and Champagne, 32 GB) 
               ","Rs. 31,999",/moto-x-style/p/itmeajtqe4rnvzf8?pid=MOBEBNKRWSPGYAJJ&al=oTeXb3%2BdcWddFy3u4VruBMldugMWZuE7Qdj0IGOOVqv4CTbT4%2FBBR8IY7upspt47SkdEkRuCaOk%3D&ref=L%3A-1702486835390100276&srno=b_15
"
                   Nexus 6 (Midnight Blue, 64 GB) 
               ","Rs. 29,999",/nexus-6/p/itme7zd6w6qwgjuy?pid=MOBEFHHGZFKAZKY3&al=oTeXb3%2BdcWddFy3u4VruBMldugMWZuE7Qdj0IGOOVqtDP7DerLMLDGs2j%2BwxHYH%2FMo9LieHFJkI%3D&ref=L%3A-1702486835390100276&srno=b_16
"
                   Moto X Style (Black, 16 GB) 
               ","Rs. 29,999",/moto-x-style/p/itmeajtqebm7yc9b?pid=MOBEAJTQ4QEAJZ2H&al=oTeXb3%2BdcWddFy3u4VruBMldugMWZuE7Qdj0IGOOVqvxD3AYsO5AtT27WaamY7aN8YK%2BZGKCovY%3D&ref=L%3A-1702486835390100276&srno=b_17
"
                   Moto X (2nd Generation) (Black, 32 GB) 
               ","Rs. 17,999",/moto-x-2nd-generation/p/itme7ybgqhjherhy?pid=MOBEFS6SNU8QW7Q2&al=oTeXb3%2BdcWddFy3u4VruBMldugMWZuE7Qdj0IGOOVquvKyDPf5%2Bi4%2FNXJLMQerunMbT52xvA%2BYY%3D&ref=L%3A-1702486835390100276&srno=b_18
"
                   Moto X Style (White and Champagne, 16 GB) 
               ","Rs. 29,999",/moto-x-style/p/itmeajtqebm7yc9b?pid=MOBEBNKRG5WC8YFM&al=oTeXb3%2BdcWfZrS6VoAC9tcldugMWZuE7Qdj0IGOOVqvzKNvr3C3ZT3VolutAb7oIz4W7uFZPlOQ%3D&ref=L%3A-1702486835390100276&srno=b_19
"
                   Moto Turbo (Black, 64 GB) 
               ","Rs. 31,999",/moto-turbo/p/itme45h87vyhb3mg?pid=MOBE45H673ZGUCVX&al=oTeXb3%2BdcWfZrS6VoAC9tcldugMWZuE7Qdj0IGOOVqsQDpOskSBblZZTjSqZUBRGvSx9%2FXBuDw8%3D&ref=L%3A-1702486835390100276&srno=b_20
